Movie Title,Year,Twist Description,Predictability Score
Gone Girl,2010,sdv-id-VRKrcE,4
The Sixth Sense,2014,sdv-id-kpieXw,3
Gone Baby Gone,2007,sdv-id-xdfGzO,3
Us,1991,sdv-id-TeJXql,4
Frozen,2008,sdv-id-KjHmtt,4
The Sixth Sense,2017,sdv-id-vGrplH,4
The Others,1980,sdv-id-cSeQFv,3
The Game,2013,sdv-id-IEnPwR,4
The Prestige,1983,sdv-id-xDaThA,3
The Orphan,2001,sdv-id-NamDWu,4
The Mist,2013,sdv-id-HuEWJi,6
The Departed,2017,sdv-id-ldBPcY,4
Shutter Island,2017,sdv-id-MovpHX,3
Shutter Island,2011,sdv-id-Uzleoj,3
Fight Club,2016,sdv-id-UnOTHP,4
Se7en,2008,sdv-id-XUuQtX,4
The Lady Vanishes,2006,sdv-id-MJADun,3
Psycho,2005,sdv-id-QVFyQR,4
Gone Baby Gone,2013,sdv-id-XuKCru,3
Vertigo,2016,sdv-id-SguEDV,4
Arrival,2013,sdv-id-BmkDvs,3
Inception,2007,sdv-id-XuHbef,4
The Lady Vanishes,2008,sdv-id-TDQJMb,4
Arrival,2010,sdv-id-lZtzas,5
The Others,2001,sdv-id-TRropm,5
Memento,2008,sdv-id-jaaDlb,3
The Prestige,2010,sdv-id-DRMWWe,3
Arrival,2011,sdv-id-btPydr,3
Vertigo,2017,sdv-id-bIolXb,4
Oldboy,1975,sdv-id-IBsVlj,3
Memento,2014,sdv-id-ETKWiC,3
The Others,2012,sdv-id-lbHdbi,3
Triangle,1984,sdv-id-SUOAly,4
Primal Fear,2007,sdv-id-pWxZxA,4
Knives Out,1998,sdv-id-IcOKZa,3
Identity,1983,sdv-id-XFIYXW,3
The Village,2006,sdv-id-tDNoFG,3
The Skeleton Key,1994,sdv-id-zQYxli,4
Inception,2012,sdv-id-TpHFGr,3
The Game,1980,sdv-id-kPzors,3
The Secret in Their Eyes,2013,sdv-id-kuJIkx,6
Oldboy,1997,sdv-id-Thrbkn,5
Triangle,1996,sdv-id-vsPgqf,4
The Invisible Guest,1997,sdv-id-OTuoQn,3
Oldboy,2014,sdv-id-pBXoML,3
The Prestige,2005,sdv-id-jNyRtr,4
Arrival,2008,sdv-id-Isgwjg,3
The Village,2006,sdv-id-YuKnOa,3
The Secret in Their Eyes,2010,sdv-id-ltKFnw,3
Coco,2013,sdv-id-VOHtEP,5
Us,2016,sdv-id-hklsFd,4
Saw,2012,sdv-id-oIyRPN,4
Arrival,2012,sdv-id-NKprxa,4
Primal Fear,2004,sdv-id-NrKwyO,4
The Invisible Guest,2018,sdv-id-dZUbjw,4
The Invisible Guest,2017,sdv-id-hRaVgs,5
Coco,1976,sdv-id-KbZdzX,6
The Skeleton Key,2006,sdv-id-YaDKWB,3
Gone Girl,2001,sdv-id-ZPEpQl,3
Psycho,1984,sdv-id-xVqDwC,5
The Invisible Guest,2007,sdv-id-JzPYDg,5
The Village,2005,sdv-id-pVJOxP,4
The Lady Vanishes,2016,sdv-id-aNrMjI,3
The Sixth Sense,2010,sdv-id-pAbFDY,4
Shutter Island,2003,sdv-id-KSGMyp,3
The Invisible Guest,2013,sdv-id-wAEuRV,5
The Secret in Their Eyes,2019,sdv-id-XzwaEg,6
Gone Baby Gone,2019,sdv-id-rkRjVM,6
Coco,2019,sdv-id-xKpPUd,5
The Prestige,2006,sdv-id-uTelEW,6
Vertigo,2005,sdv-id-sPjpAp,4
The Sixth Sense,2013,sdv-id-WUzMes,3
Fight Club,2018,sdv-id-STGIRm,4
Arrival,2004,sdv-id-rkiGSb,4
The Game,1996,sdv-id-sGcJol,5
Oldboy,2015,sdv-id-EMVixK,3
The Secret in Their Eyes,1988,sdv-id-NYnhjF,3
Psycho,2002,sdv-id-MrUXTD,3
Knives Out,2017,sdv-id-pgTEcl,5
Gone Girl,2003,sdv-id-kTIbhG,3
Shutter Island,2008,sdv-id-HiXzHj,4
The Skeleton Key,1998,sdv-id-fTueCJ,4
Shutter Island,1992,sdv-id-dpRruS,4
Shutter Island,1989,sdv-id-YJBpmU,3
The Prestige,2008,sdv-id-Htyglz,4
The Others,2014,sdv-id-CxNoBt,5
Gone Girl,2017,sdv-id-GfSpKl,4
The Village,2011,sdv-id-gRmfsc,5
The Prestige,2018,sdv-id-NgJpAq,5
Saw,2017,sdv-id-DKUBFT,4
Inception,2017,sdv-id-ckBPwe,4
Atonement,1982,sdv-id-QTUErB,3
Identity,1989,sdv-id-hHXFIn,4
The Invisible Guest,1986,sdv-id-kuCgiY,3
Psycho,2014,sdv-id-zyccTE,4
The Mist,2014,sdv-id-EGLUGY,3
Inception,1983,sdv-id-DUtHoo,3
The Prestige,1978,sdv-id-BnFkiY,3
The Game,2014,sdv-id-TYxdgS,4
The Sixth Sense,2009,sdv-id-WNPosF,4
Fight Club,2016,sdv-id-yxrhVD,4
The Prestige,2018,sdv-id-uJXsCj,4
The Skeleton Key,2010,sdv-id-BsuRsX,5
Gone Girl,2018,sdv-id-ZzhdCy,5
The Sixth Sense,2018,sdv-id-XnemxV,4
Identity,2008,sdv-id-cERlDy,3
Gone Girl,1991,sdv-id-NIxXQR,3
The Invisible Guest,2008,sdv-id-tgeMzz,3
Memento,2003,sdv-id-YhBFWG,3
Us,2015,sdv-id-BtIcRB,3
Coco,1987,sdv-id-CqTfGy,3
The Village,2008,sdv-id-pHpSxa,3
The Lady Vanishes,2012,sdv-id-lXFmEv,3
The Orphan,2006,sdv-id-JKPhDx,3
The Departed,2003,sdv-id-wCQKwz,3
Memento,1981,sdv-id-TTknXm,3
Saw,2011,sdv-id-oezTXo,4
Fight Club,2017,sdv-id-uHkhmh,4
The Lady Vanishes,2001,sdv-id-UjBoRr,3
The Village,1976,sdv-id-fRdvaJ,3
Gone Girl,2013,sdv-id-REciMm,5
Gone Girl,2017,sdv-id-Jzwxud,4
The Sixth Sense,2001,sdv-id-ziWjZx,4
Primal Fear,1970,sdv-id-kTaelA,3
Arrival,2009,sdv-id-JtLVQw,3
Oldboy,1999,sdv-id-caWRIs,3
The Village,2008,sdv-id-JrvpoZ,3
The Orphan,1974,sdv-id-fwgvBb,4
The Orphan,1997,sdv-id-pNDSVK,4
The Mist,2015,sdv-id-VDFjBL,5
Vertigo,2014,sdv-id-SDFLFS,7
The Sixth Sense,1997,sdv-id-CkQYlN,4
The Sixth Sense,2004,sdv-id-lLmNnr,3
Saw,2017,sdv-id-DyKcuM,4
The Lady Vanishes,1957,sdv-id-sUlOKm,3
Frozen,2000,sdv-id-Hzvuve,3
The Others,1989,sdv-id-fGrozQ,3
The Village,1988,sdv-id-ZhnnMI,3
Inception,2008,sdv-id-KPXsSs,5
Psycho,1983,sdv-id-CNQwRD,4
The Game,2001,sdv-id-BlujSZ,3
Arrival,2011,sdv-id-KGcAAC,6
Knives Out,2011,sdv-id-LiLryr,4
Fight Club,1992,sdv-id-lVnwqt,3
Memento,2008,sdv-id-ijsyDW,5
The Invisible Guest,2016,sdv-id-qFeLxh,5
The Prestige,2004,sdv-id-mOoWga,3
Primal Fear,2001,sdv-id-UWgLsW,4
Oldboy,2014,sdv-id-ZRTFCG,3
The Village,1976,sdv-id-xtIAsw,3
The Others,1992,sdv-id-jJXuWs,3
The Skeleton Key,2008,sdv-id-CTlTpx,3
The Prestige,2009,sdv-id-uFPOvN,4
Inception,2018,sdv-id-nzUFFf,3
Triangle,1952,sdv-id-Fehosk,4
Vertigo,2014,sdv-id-ClebHe,4
Gone Girl,1987,sdv-id-CNkmkc,3
Planet of the Apes,2004,sdv-id-eIeqoQ,3
Gone Baby Gone,2017,sdv-id-nxJkqN,4
Psycho,1997,sdv-id-wPFvrC,5
Psycho,2013,sdv-id-yIigmv,4
Fight Club,2017,sdv-id-ZHTvtg,6
Memento,2011,sdv-id-gcUMJW,3
Atonement,2005,sdv-id-XeWmWH,3
The Orphan,1993,sdv-id-HItADr,4
Triangle,1977,sdv-id-gOdXFI,4
Gone Girl,2019,sdv-id-Lfyzay,3
The Village,1998,sdv-id-epcUNc,4
The Invisible Guest,2015,sdv-id-ivIjoH,5
Gone Baby Gone,2007,sdv-id-PAJREt,6
Planet of the Apes,2006,sdv-id-QdKXOz,3
The Skeleton Key,1997,sdv-id-gvUXQv,3
Gone Girl,2005,sdv-id-lCzgut,3
The Sixth Sense,2012,sdv-id-LaZVFV,3
The Mist,2009,sdv-id-lKgFWf,4
The Prestige,2018,sdv-id-DdtVPI,5
The Orphan,1979,sdv-id-jZJfdq,3
The Mist,1987,sdv-id-wHUjUD,3
Atonement,2015,sdv-id-djGXtf,3
Fight Club,2004,sdv-id-Qhubev,3
The Village,1976,sdv-id-zVUuEp,3
The Secret in Their Eyes,2006,sdv-id-yEsnMp,4
Saw,2015,sdv-id-nPSNuh,4
The Orphan,1990,sdv-id-xIIZwy,3
The Game,2018,sdv-id-FACOzV,5
Gone Baby Gone,1961,sdv-id-cNHnhG,3
Knives Out,2007,sdv-id-kIVMbm,4
Parasite,2014,sdv-id-BvwSrc,5
Planet of the Apes,2015,sdv-id-SXXCcB,4
Knives Out,1983,sdv-id-chlbki,3
Gone Girl,1992,sdv-id-HSZFHM,4
The Sixth Sense,2002,sdv-id-HyJaAO,3
The Invisible Guest,1988,sdv-id-XaBcFm,3
Planet of the Apes,2018,sdv-id-laxxbG,5
The Departed,2017,sdv-id-RdNsWe,4
Saw,2019,sdv-id-oFRNGk,4
The Prestige,2003,sdv-id-smdbeQ,5
Vertigo,2016,sdv-id-tmpjEr,3
The Skeleton Key,2003,sdv-id-PNJHUC,3
The Others,2002,sdv-id-YKKmab,3
Parasite,1995,sdv-id-JgmMJO,4
Knives Out,2015,sdv-id-GgerOE,4
Knives Out,2015,sdv-id-SzraWm,6
The Others,2016,sdv-id-WkTdSF,4
Gone Girl,1986,sdv-id-aLwLWF,3
The Sixth Sense,2014,sdv-id-IqtuRT,5
Triangle,1993,sdv-id-iPXxLl,5
The Departed,1974,sdv-id-yXPhXp,4
Vertigo,2018,sdv-id-FXBOoW,6
Identity,2005,sdv-id-uWabyU,3
Shutter Island,2005,sdv-id-iocLgF,3
The Sixth Sense,2013,sdv-id-rMvmmW,3
Us,2008,sdv-id-pPWGei,5
Fight Club,2011,sdv-id-jwMmLM,4
Fight Club,2017,sdv-id-AjHiPS,3
Fight Club,2013,sdv-id-eGBySe,3
Inception,2015,sdv-id-YfoZgn,4
Gone Baby Gone,2017,sdv-id-TxbgXM,5
Arrival,2016,sdv-id-XXfbcq,3
Knives Out,2008,sdv-id-aTJSRd,4
The Departed,1983,sdv-id-xIOLxK,5
The Sixth Sense,2007,sdv-id-kqcjnA,4
Frozen,2018,sdv-id-ErnDpP,4
The Mist,2017,sdv-id-azJvBu,5
The Skeleton Key,2017,sdv-id-NftNxV,5
The Game,2003,sdv-id-PiUMhb,3
The Invisible Guest,1988,sdv-id-YgJgmR,4
Oldboy,2012,sdv-id-ItDQts,3
Psycho,2000,sdv-id-GNlTqM,4
Shutter Island,2018,sdv-id-hutdTi,3
The Others,2007,sdv-id-HThEEj,3
Identity,2003,sdv-id-rkdnOJ,5
The Game,1994,sdv-id-nohZMN,4
Triangle,1992,sdv-id-wUQdIO,4
The Game,2014,sdv-id-cjQtYY,5
Frozen,1989,sdv-id-xpKvcf,4
The Others,2011,sdv-id-iSLYnx,4
Gone Girl,1998,sdv-id-ycZrvT,3
Us,1971,sdv-id-IWZDiU,4
Memento,1962,sdv-id-EPAZdq,3
Atonement,1990,sdv-id-BCHEvi,4
The Mist,1981,sdv-id-YZRWex,3
Se7en,1974,sdv-id-CYIgTj,3
Psycho,1983,sdv-id-IJKBns,4
Gone Girl,2001,sdv-id-aDnjAf,4
The Lady Vanishes,1989,sdv-id-FCCsxn,4
Se7en,1999,sdv-id-gvBxXT,4
Oldboy,2015,sdv-id-sFFAHO,4
The Mist,2015,sdv-id-uxgaIS,5
The Sixth Sense,2019,sdv-id-gRbxUh,4
The Village,1986,sdv-id-grxYuT,3
Psycho,2003,sdv-id-kyBQEG,4
The Village,2000,sdv-id-XSnQSF,3
Primal Fear,2003,sdv-id-bPMUsR,4
The Departed,1987,sdv-id-qUNVOm,3
The Orphan,2010,sdv-id-XhHkJr,3
The Invisible Guest,2009,sdv-id-MkLwqw,4
Knives Out,2007,sdv-id-EObaoq,4
Triangle,1998,sdv-id-nkkvmf,4
Oldboy,2019,sdv-id-emuZOq,4
The Lady Vanishes,2009,sdv-id-AYDAdl,5
Psycho,2014,sdv-id-Przlez,3
Gone Baby Gone,2000,sdv-id-hBlnah,4
The Invisible Guest,2017,sdv-id-BhDuAO,5
Primal Fear,2015,sdv-id-nCXbeM,3
Memento,1966,sdv-id-RXJlhp,3
Primal Fear,1994,sdv-id-mbCMWZ,4
The Game,1990,sdv-id-mWKzpl,4
Primal Fear,2006,sdv-id-hsQIIQ,4
Primal Fear,2014,sdv-id-dmzdUe,4
Arrival,2017,sdv-id-SVqgqx,3
The Sixth Sense,2013,sdv-id-vlNTVH,3
The Prestige,2015,sdv-id-SsXztf,3
Fight Club,2008,sdv-id-sauEgI,3
The Game,2018,sdv-id-aXIwVO,5
Coco,2006,sdv-id-LtxqUt,4
The Sixth Sense,1990,sdv-id-OrbQxI,3
Parasite,2018,sdv-id-IjhIvo,5
Planet of the Apes,2010,sdv-id-SJmiuH,5
Frozen,2004,sdv-id-MQAtjk,3
The Invisible Guest,2015,sdv-id-wzTUid,6
The Invisible Guest,2007,sdv-id-OszAXY,4
The Invisible Guest,1971,sdv-id-JfDhqJ,3
Coco,2017,sdv-id-bJJyGq,4
The Village,2015,sdv-id-fZTvMi,5
The Orphan,2004,sdv-id-cqhTrU,3
The Secret in Their Eyes,2001,sdv-id-hGzdIg,4
Identity,1993,sdv-id-fXmbAN,4
The Lady Vanishes,1979,sdv-id-CFgaXH,3
Memento,1999,sdv-id-reojIF,6
The Sixth Sense,2015,sdv-id-olwJuy,3
The Lady Vanishes,2000,sdv-id-XPedWP,3
Coco,2015,sdv-id-BttEDG,4
The Invisible Guest,1972,sdv-id-WeRmUk,3
The Mist,2019,sdv-id-tPRPms,4
Inception,2012,sdv-id-lmfAZK,3
Memento,2015,sdv-id-QRpFZB,4
Fight Club,2014,sdv-id-liToAL,4
Fight Club,1980,sdv-id-jgEhmp,3
Fight Club,2017,sdv-id-YUnWhm,6
Knives Out,2006,sdv-id-XnZAIL,4
Triangle,1987,sdv-id-yZESQf,4
The Prestige,2015,sdv-id-RmFmWI,4
Coco,2012,sdv-id-YqEBbp,4
Shutter Island,2007,sdv-id-FHAzWP,3
The Others,1981,sdv-id-hpwTQM,4
The Invisible Guest,2002,sdv-id-keOMgK,3
Oldboy,2006,sdv-id-rSyPnF,3
Triangle,2015,sdv-id-oKDNGy,6
Coco,2007,sdv-id-aaqLrl,4
Oldboy,1957,sdv-id-bdaegG,4
Oldboy,2011,sdv-id-kReIjH,3
The Departed,1996,sdv-id-OFRiVZ,4
Saw,2015,sdv-id-aVQNXY,4
Psycho,2002,sdv-id-afYdvK,4
Parasite,2001,sdv-id-ebjJJy,4
Gone Baby Gone,1993,sdv-id-oHDrnS,4
Coco,2004,sdv-id-GxgCUJ,4
The Prestige,1992,sdv-id-tCgfoe,5
Primal Fear,2009,sdv-id-ecYWdB,3
The Village,2019,sdv-id-emEfXQ,5
The Others,2007,sdv-id-yhewHv,5
The Departed,2014,sdv-id-WqOjYK,3
The Prestige,2008,sdv-id-KdtyRM,3
Se7en,2018,sdv-id-JqlQGX,6
The Secret in Their Eyes,2018,sdv-id-gzfegj,3
Vertigo,1979,sdv-id-bvDlum,3
The Others,2010,sdv-id-iAuQUd,3
The Departed,2004,sdv-id-Mzlqgx,5
Gone Girl,1977,sdv-id-TcGOog,3
Psycho,1955,sdv-id-lialSV,3
Primal Fear,2002,sdv-id-hEKTOi,3
Primal Fear,2010,sdv-id-SYSzyW,5
Identity,1976,sdv-id-yMVDwm,3
Primal Fear,2018,sdv-id-ZTXoTY,5
Saw,2002,sdv-id-ZBnPdF,4
The Invisible Guest,2018,sdv-id-HCufoQ,4
Primal Fear,2018,sdv-id-UGxKYN,7
Us,2015,sdv-id-PFithE,7
Oldboy,2018,sdv-id-wBPaul,5
The Departed,1990,sdv-id-FeWWdZ,5
The Prestige,1995,sdv-id-AJPqdC,3
Se7en,2007,sdv-id-gOAJjU,4
The Prestige,2017,sdv-id-nWELQv,4
Oldboy,2010,sdv-id-fSpFKB,3
Knives Out,1993,sdv-id-hMvXmd,3
The Invisible Guest,2008,sdv-id-YaiRnN,4
The Sixth Sense,1993,sdv-id-yjvdOv,3
The Mist,1986,sdv-id-UQdxGA,4
The Others,2014,sdv-id-xWFzwL,5
Identity,2018,sdv-id-Cyyasq,5
Saw,2017,sdv-id-tXFqsQ,4
Us,2011,sdv-id-ElbmPA,4
Primal Fear,2013,sdv-id-BVabxJ,5
Shutter Island,2006,sdv-id-wjhfNd,3
Primal Fear,1995,sdv-id-KepHQR,4
Inception,2007,sdv-id-nvtfRv,4
Fight Club,2010,sdv-id-vghGiP,4
Se7en,2011,sdv-id-yJmCJw,5
Memento,2008,sdv-id-lkYOrU,4
Psycho,2008,sdv-id-ZroAxQ,4
The Mist,2002,sdv-id-zjAEGK,3
Saw,2017,sdv-id-uUyfPu,3
Psycho,2013,sdv-id-AJCxWo,5
Gone Girl,1993,sdv-id-mAsuCf,3
Memento,1973,sdv-id-bmhIqD,4
Frozen,1979,sdv-id-zZiAaL,3
Primal Fear,2010,sdv-id-ylSGBe,4
The Orphan,1985,sdv-id-zNYONS,3
Shutter Island,2005,sdv-id-QxEnRw,3
The Sixth Sense,2002,sdv-id-oGVOfb,3
Gone Girl,1994,sdv-id-iAgaUn,3
The Prestige,2003,sdv-id-aogpXb,3
Memento,2013,sdv-id-qmRiMQ,4
The Mist,2013,sdv-id-FGapIN,4
The Prestige,1992,sdv-id-QKZwvI,3
Se7en,1990,sdv-id-YSPXkj,5
Triangle,1986,sdv-id-iiijbD,4
Gone Baby Gone,2015,sdv-id-iNdahf,5
Fight Club,1980,sdv-id-uPAodM,3
Coco,2005,sdv-id-xhYnYc,3
The Secret in Their Eyes,2015,sdv-id-pJhvRZ,7
Gone Girl,2004,sdv-id-BxlaMf,3
Shutter Island,1986,sdv-id-xqxNjE,3
The Invisible Guest,2018,sdv-id-nIDaVX,3
The Game,2018,sdv-id-IZwGxA,4
The Lady Vanishes,1999,sdv-id-vRbKIu,6
Se7en,1987,sdv-id-CZSHHg,3
Coco,2014,sdv-id-uvIRzS,4
Frozen,1957,sdv-id-nltJng,3
Gone Girl,2014,sdv-id-LKfOZh,3
Gone Girl,2006,sdv-id-upAZer,4
The Others,1997,sdv-id-inMgCO,3
Vertigo,2010,sdv-id-twyBIH,3
The Invisible Guest,2018,sdv-id-oLnuDv,4
Inception,2019,sdv-id-CffZqd,4
Gone Girl,1956,sdv-id-gUnvAj,3
The Mist,2008,sdv-id-qmjKEY,4
Us,1979,sdv-id-ZmtHbR,5
Coco,1999,sdv-id-aghlxD,4
Se7en,1996,sdv-id-JTjzWn,4
The Invisible Guest,1999,sdv-id-bjBSSO,3
The Others,2019,sdv-id-PhaQiP,6
Us,2017,sdv-id-FqqmZL,5
Gone Girl,1984,sdv-id-CDNIoM,3
Parasite,2018,sdv-id-wyNcfO,7
Oldboy,2001,sdv-id-Ixkhrr,3
The Village,2007,sdv-id-KSgvgX,3
The Village,2012,sdv-id-FeWrsk,3
Gone Girl,2006,sdv-id-QjmhIg,3
Psycho,1988,sdv-id-ZjFiPM,3
The Invisible Guest,1975,sdv-id-vhFTjN,3
The Skeleton Key,2003,sdv-id-AbfbXs,4
The Secret in Their Eyes,1984,sdv-id-kmsfdF,4
Oldboy,1988,sdv-id-UBisLO,3
Oldboy,1980,sdv-id-wSwRHV,3
Memento,2016,sdv-id-sQIYZM,4
Shutter Island,2011,sdv-id-OhhnOi,3
The Others,2013,sdv-id-lbkTdi,6
Arrival,2010,sdv-id-LuQtcN,4
Fight Club,2012,sdv-id-uutJMA,5
The Secret in Their Eyes,2000,sdv-id-mfTFBj,3
Fight Club,1996,sdv-id-UdoEaB,3
