title,category,mood,style,tags
"Staticless BLNTSDE",Technical,Mysterious,Glitch,"[""signal"", ""static"", ""glitch"", ""noise""]"
"grid quantization error",Technical,Eerie,Glitch,"[""grid"", ""error"", ""quantize"", ""broken""]"
"aesthetic outlier dithering",Technical,Analytical,Glitch,"[""dither"", ""outlier"", ""render"", ""noise""]"
"Inaccurate Diagram of a Dream",Creative,Dreamy,Creative,"[""surreal"", ""diagram"", ""mind"", ""sketch""]"
"Cityscape Magnetic Distances",Atmospheric,Mysterious,Cinematic,"[""city"", ""magnetic"", ""urban"", ""distance""]"
"Magnetic Attraction",Hybrid,Dreamy,Creative,"[""pull"", ""force"", ""connection"", ""physics""]"
"NewEraDreaming - Futuristic Embassy",Hybrid,Mysterious,Cinematic,"[""future"", ""diplomacy"", ""dream"", ""retro-futurism""]"
"Square of the Sun",Atmospheric,Dreamy,Creative,"[""geometry"", ""light"", ""solar"", ""warm""]"
"Future is an attitude",Creative,Energetic,Casual,"[""optimism"", ""future"", ""mindset"", ""vibe""]"
"DATALOG Sea Of Voices",Technical,Mysterious,Glitch,"[""log"", ""data"", ""voices"", ""signal""]"
"LIKE MINDED INDIVIDUALS SHARE",Institutional,Analytical,Formal,"[""community"", ""network"", ""share"", ""collective""]"
"Man With Static Eyes",Atmospheric,Eerie,Cinematic,"[""static"", ""vision"", ""haunted"", ""signal""]"
"Seabaud-ａｐｅｘ",Technical,Mysterious,Glitch,"[""baud"", ""sea"", ""fullwidth"", ""cyber""]"
"Your Dark Note — Dusk",Atmospheric,Melancholic,Cinematic,"[""music"", ""dusk"", ""dark"", ""note""]"
"love is precious",Creative,Dreamy,Casual,"[""love"", ""soft"", ""warmth"", ""simple""]"
"Neko Fureku-Think「もう一回」",Creative,Nostalgic,Glitch,"[""japan"", ""cat"", ""repeat"", ""vaporwave""]"
"Closing Time",Atmospheric,Melancholic,Cinematic,"[""ending"", ""store"", ""night"", ""liminal""]"
"Desert Song",Atmospheric,Dreamy,Casual,"[""desert"", ""music"", ""warmth"", ""vast""]"
"When You Came Along",Creative,Nostalgic,Casual,"[""memory"", ""love"", ""arrival"", ""soft""]"
"Illegal Antenna - I Know",Technical,Mysterious,Glitch,"[""signal"", ""antenna"", ""contraband"", ""frequency""]"
"TELL ME LIES",Creative,Eerie,Glitch,"[""deception"", ""signal"", ""bold"", ""confession""]"
"Emotional Geometry",Hybrid,Melancholic,Creative,"[""emotion"", ""math"", ""shape"", ""feeling""]"
"Want to see something beautiful?",Creative,Dreamy,Casual,"[""invitation"", ""beauty"", ""wonder"", ""soft""]"
"skyline divine setups",Atmospheric,Dreamy,Creative,"[""city"", ""sky"", ""light"", ""divine""]"
"Pixelized Vapors",Creative,Nostalgic,Glitch,"[""pixel"", ""vapor"", ""retro"", ""vaporwave""]"
"Binary Sunset",Atmospheric,Melancholic,Creative,"[""binary"", ""sky"", ""dusk"", ""code""]"
"Progression Palette",Creative,Analytical,Creative,"[""color"", ""progress"", ""data"", ""visual""]"
"Data Dance: Scatter Symphony",Technical,Dreamy,Creative,"[""scatter"", ""data"", ""movement"", ""music""]"
"Insightful Constellations",Hybrid,Dreamy,Creative,"[""stars"", ""data"", ""pattern"", ""discovery""]"
"Progression Parabolas",Technical,Analytical,Professional,"[""math"", ""curve"", ""progress"", ""data""]"
"Quantum Quotients",Technical,Analytical,Formal,"[""quantum"", ""math"", ""ratio"", ""science""]"
"Data Dreamscapes",Hybrid,Dreamy,Creative,"[""data"", ""dream"", ""landscape"", ""visual""]"
"Progress Prism",Technical,Analytical,Creative,"[""prism"", ""progress"", ""light"", ""data""]"
"Scatter Serendipity",Creative,Dreamy,Creative,"[""scatter"", ""chance"", ""discovery"", ""random""]"
"Pathway Patterns",Technical,Analytical,Professional,"[""path"", ""pattern"", ""data"", ""flow""]"
"Creative Coordinates",Creative,Analytical,Creative,"[""coordinate"", ""map"", ""art"", ""data""]"
"Progression Portraits",Creative,Analytical,Creative,"[""progress"", ""portrait"", ""data"", ""visual""]"
"Data Mirage",Technical,Eerie,Creative,"[""data"", ""illusion"", ""mirage"", ""signal""]"
"Scatter Spectrum",Technical,Analytical,Creative,"[""scatter"", ""spectrum"", ""color"", ""data""]"
"Progression Polychrome",Creative,Energetic,Creative,"[""color"", ""progress"", ""spectrum"", ""data""]"
"Luminescent Landmarks",Atmospheric,Dreamy,Creative,"[""light"", ""landmark"", ""glow"", ""urban""]"
"Data Divergence",Technical,Mysterious,Professional,"[""data"", ""split"", ""diverge"", ""system""]"
"Scatter Sculpture",Creative,Analytical,Creative,"[""scatter"", ""form"", ""art"", ""data""]"
"Harmonious Scatterings",Creative,Dreamy,Creative,"[""harmony"", ""scatter"", ""pattern"", ""data""]"
"progress unveiled",Technical,Energetic,Casual,"[""progress"", ""reveal"", ""data"", ""clarity""]"
"nostalgiacropolis",Atmospheric,Nostalgic,Creative,"[""city"", ""nostalgia"", ""retro"", ""urban""]"
"Retro Remnants",Atmospheric,Nostalgic,Creative,"[""retro"", ""decay"", ""memory"", ""artifact""]"
"Aesthetic Edifices",Atmospheric,Dreamy,Creative,"[""architecture"", ""beauty"", ""vaporwave"", ""building""]"
"Liminal Landmarks",Atmospheric,Eerie,Minimalist,"[""liminal"", ""space"", ""threshold"", ""place""]"
"Analog Archives",Institutional,Nostalgic,Formal,"[""analog"", ""archive"", ""memory"", ""tape""]"
"Dreamscape Dwellings",Atmospheric,Dreamy,Creative,"[""dream"", ""home"", ""surreal"", ""space""]"
"Chronicled Columns",Institutional,Analytical,Formal,"[""archive"", ""column"", ""record"", ""history""]"
"Memory Mansions",Atmospheric,Nostalgic,Creative,"[""memory"", ""palace"", ""home"", ""past""]"
"Deco Data Domes",Hybrid,Dreamy,Creative,"[""deco"", ""data"", ""dome"", ""architecture""]"
"Faded Facade Futures",Atmospheric,Melancholic,Creative,"[""fade"", ""facade"", ""future"", ""decay""]"
"Synth Structures",Technical,Analytical,Creative,"[""synth"", ""structure"", ""sound"", ""build""]"
"Pastel Preservation",Atmospheric,Nostalgic,Creative,"[""pastel"", ""preserve"", ""memory"", ""soft""]"
"Virtual Vaults",Technical,Mysterious,Creative,"[""vault"", ""virtual"", ""archive"", ""secure""]"
"Pixel Pillars",Creative,Nostalgic,Creative,"[""pixel"", ""pillar"", ""retro"", ""structure""]"
"Future Relics",Hybrid,Mysterious,Creative,"[""future"", ""relic"", ""artifact"", ""time""]"
"UrbanU topias",Atmospheric,Dreamy,Creative,"[""urban"", ""utopia"", ""city"", ""dream""]"
"Anachronistic Monuments",Hybrid,Eerie,Cinematic,"[""anachronism"", ""monument"", ""time"", ""history""]"
"Data Estate",Technical,Analytical,Formal,"[""data"", ""estate"", ""property"", ""system""]"
"Pixelized Scatterings",Creative,Nostalgic,Glitch,"[""pixel"", ""scatter"", ""retro"", ""glitch""]"
"Scattered Reminiscences",Atmospheric,Nostalgic,Creative,"[""memory"", ""scatter"", ""past"", ""fragments""]"
"Unstructured Data",Technical,Analytical,Formal,"[""data"", ""noise"", ""raw"", ""system""]"
"A Barely Lit Path",Atmospheric,Eerie,Minimalist,"[""path"", ""dark"", ""liminal"", ""shadow""]"
"Neon Nodes Clusters",Technical,Mysterious,Glitch,"[""neon"", ""node"", ""network"", ""cluster""]"
"Nebula Nodes",Technical,Dreamy,Creative,"[""nebula"", ""node"", ""space"", ""network""]"
"Neon Nodescape",Technical,Mysterious,Glitch,"[""neon"", ""node"", ""landscape"", ""network""]"
"Spectrum Spirals",Creative,Dreamy,Creative,"[""spectrum"", ""spiral"", ""color"", ""motion""]"
"Chroma Dream Sampler",Creative,Dreamy,Creative,"[""color"", ""dream"", ""sample"", ""vaporwave""]"
"Flux Frequencies",Technical,Mysterious,Glitch,"[""flux"", ""frequency"", ""signal"", ""wave""]"
"succinct-lavender-pocket",Creative,Dreamy,Minimalist,"[""lavender"", ""compact"", ""soft"", ""name""]"
"petal-ornament",Atmospheric,Dreamy,Minimalist,"[""petal"", ""flower"", ""ornament"", ""soft""]"
"invited-hushed-phlox",Atmospheric,Dreamy,Minimalist,"[""hushed"", ""phlox"", ""quiet"", ""soft""]"
"rocky-innocent",Atmospheric,Nostalgic,Casual,"[""rock"", ""innocent"", ""simple"", ""raw""]"
"adaptable-quasar-berry",Technical,Mysterious,Glitch,"[""quasar"", ""berry"", ""adapt"", ""cosmic""]"
"warm-arrhinceratops",Creative,Nostalgic,Casual,"[""warm"", ""creature"", ""strange"", ""name""]"
"marble-pudding",Atmospheric,Dreamy,Casual,"[""marble"", ""soft"", ""texture"", ""food""]"
"jealous-empty-triangle",Creative,Eerie,Minimalist,"[""jealousy"", ""void"", ""geometry"", ""emotion""]"
"road-inexpensive-block",Technical,Analytical,Casual,"[""road"", ""block"", ""simple"", ""structure""]"
"abrupt-topaz-screwdriver",Creative,Mysterious,Casual,"[""topaz"", ""abrupt"", ""tool"", ""strange""]"
"-i cant sleep alone",Atmospheric,Melancholic,Casual,"[""insomnia"", ""solitude"", ""night"", ""confession""]"
"Mermaid Loop Logic",Technical,Mysterious,Creative,"[""mermaid"", ""loop"", ""diagram"", ""code""]"
"Logic Lyncher",Technical,Eerie,Glitch,"[""logic"", ""error"", ""break"", ""system""]"
"memory box",Atmospheric,Nostalgic,Minimalist,"[""memory"", ""box"", ""storage"", ""past""]"
"Notorious Secret",Creative,Mysterious,Creative,"[""secret"", ""infamous"", ""hidden"", ""irony""]"
"Glitch Garden Wanderer",Hybrid,Eerie,Glitch,"[""glitch"", ""garden"", ""wander"", ""broken""]"
"Celestial City Siren",Atmospheric,Mysterious,Cinematic,"[""celestial"", ""city"", ""siren"", ""night""]"
"Crystal Echo Voyager",Hybrid,Dreamy,Creative,"[""crystal"", ""echo"", ""voyage"", ""space""]"
"Aqua Byte Buccaneer",Creative,Energetic,Glitch,"[""aqua"", ""byte"", ""pirate"", ""cyber""]"
"Holographic Hydro Heroine",Creative,Energetic,Creative,"[""holo"", ""water"", ""hero"", ""future""]"
"Digital Dolphin Diver",Creative,Energetic,Casual,"[""digital"", ""dolphin"", ""dive"", ""playful""]"
"Waveform Wavelength Wanderer",Technical,Mysterious,Creative,"[""waveform"", ""signal"", ""wander"", ""audio""]"
"Cyber Coral",Hybrid,Dreamy,Creative,"[""cyber"", ""coral"", ""ocean"", ""organic""]"
"dithering outlier",Technical,Analytical,Glitch,"[""dither"", ""outlier"", ""noise"", ""render""]"
"Blissful Bloomwave",Atmospheric,Dreamy,Creative,"[""bloom"", ""wave"", ""bliss"", ""pastel""]"
"Beamwave Bliss",Atmospheric,Dreamy,Creative,"[""beam"", ""wave"", ""bliss"", ""light""]"
"Blueberry Bytewave",Creative,Nostalgic,Casual,"[""blueberry"", ""byte"", ""wave"", ""sweet""]"
"Bluewave Boulevard",Atmospheric,Nostalgic,Creative,"[""blue"", ""wave"", ""road"", ""retro""]"
"Binary Dreamscape",Technical,Dreamy,Creative,"[""binary"", ""dream"", ""landscape"", ""code""]"
"Bubblegum Beatwave",Creative,Energetic,Casual,"[""bubblegum"", ""beat"", ""wave"", ""pop""]"
"Blurred Borders",Atmospheric,Dreamy,Minimalist,"[""blur"", ""border"", ""threshold"", ""soft""]"
"Byte Be Gone",Technical,Melancholic,Glitch,"[""byte"", ""delete"", ""gone"", ""loss""]"
"Byte Bleach",Technical,Eerie,Glitch,"[""byte"", ""bleach"", ""erase"", ""clean""]"
"database dump files",Technical,Analytical,Formal,"[""database"", ""dump"", ""export"", ""system""]"
"SIMULATED RAINFOREST",Hybrid,Eerie,Glitch,"[""simulation"", ""nature"", ""fake"", ""digital""]"
"SENSORY DEPRIVATION",Atmospheric,Eerie,Minimalist,"[""sensory"", ""void"", ""isolation"", ""silence""]"
"VIDEO ARTIFACTING",Technical,Eerie,Glitch,"[""video"", ""artifact"", ""glitch"", ""decay""]"
"SYLLABUS - Throw This Away",Institutional,Melancholic,Glitch,"[""curriculum"", ""waste"", ""system"", ""irony""]"
"22. The first time I saw your eyes",Creative,Nostalgic,Casual,"[""love"", ""memory"", ""first"", ""eyes""]"
"yyzarrival071816/memorybank",Technical,Nostalgic,Glitch,"[""airport"", ""date"", ""memory"", ""arrival""]"
"Calm Under Pressure",Technical,Analytical,Professional,"[""resilience"", ""pressure"", ""system"", ""calm""]"
"Ghostly Glitchwave",Atmospheric,Eerie,Glitch,"[""ghost"", ""glitch"", ""wave"", ""haunted""]"
"mould ghostwave",Atmospheric,Eerie,Glitch,"[""mould"", ""ghost"", ""wave"", ""decay""]"
"Digital Dimensional Reduction",Technical,Analytical,Formal,"[""dimensionality"", ""ML"", ""reduction"", ""data""]"
"Cosmic Data Exploration",Technical,Dreamy,Creative,"[""space"", ""data"", ""explore"", ""cosmos""]"
"Virtual Data Deluge",Technical,Eerie,Glitch,"[""data"", ""flood"", ""virtual"", ""overload""]"
"Diskette Sunset Synchrony",Atmospheric,Nostalgic,Creative,"[""diskette"", ""sunset"", ""sync"", ""retro""]"
"Diskette Echoes Ensemble",Atmospheric,Nostalgic,Creative,"[""diskette"", ""echo"", ""retro"", ""sound""]"
"blank discette",Technical,Nostalgic,Minimalist,"[""diskette"", ""blank"", ""empty"", ""retro""]"
"aether system",Technical,Mysterious,Formal,"[""aether"", ""system"", ""network"", ""ethereal""]"
"Vapor Sequences",Creative,Dreamy,Creative,"[""vapor"", ""sequence"", ""vaporwave"", ""loop""]"
"Resurgence Thoughts",Creative,Energetic,Creative,"[""resurgence"", ""thought"", ""return"", ""mind""]"
"VOICES FROM THE PAST",Atmospheric,Nostalgic,Cinematic,"[""voice"", ""past"", ""memory"", ""haunted""]"
"Sugar Wounds",Creative,Melancholic,Creative,"[""sweet"", ""pain"", ""contrast"", ""emotion""]"
"Waiting for the bus",Atmospheric,Melancholic,Casual,"[""liminal"", ""wait"", ""mundane"", ""time""]"
"INTERNET CLUB - MODERN MOODS",Creative,Nostalgic,Glitch,"[""internet"", ""club"", ""vaporwave"", ""mood""]"
"INTERNET + MOODS",Creative,Nostalgic,Casual,"[""internet"", ""mood"", ""connection"", ""retro""]"
"CTRL Echo Beach",Hybrid,Nostalgic,Glitch,"[""control"", ""echo"", ""beach"", ""retro""]"
"Alternate Skies",Atmospheric,Dreamy,Creative,"[""sky"", ""alternate"", ""dimension"", ""cloud""]"
"Digital Forecast Interface",Technical,Analytical,Formal,"[""forecast"", ""interface"", ""digital"", ""data""]"
"Lipglossed Ephemeris",Creative,Dreamy,Creative,"[""lipgloss"", ""ephemeris"", ""celestial"", ""feminine""]"
"Ecstasis Hypostasis",Hybrid,Mysterious,Formal,"[""ecstasy"", ""philosophy"", ""substance"", ""transcendence""]"
"4 Hours From Yesterday",Atmospheric,Melancholic,Cinematic,"[""time"", ""yesterday"", ""gap"", ""drift""]"
"MiraiCult-クリームダスク",Hybrid,Mysterious,Glitch,"[""future"", ""japan"", ""cream"", ""cult""]"
"ESSENCE - fast internet",Technical,Energetic,Glitch,"[""essence"", ""speed"", ""internet"", ""core""]"
"Passionate City ●■",Atmospheric,Energetic,Creative,"[""city"", ""passion"", ""urban"", ""symbol""]"
"Order City Thesis",Institutional,Analytical,Formal,"[""order"", ""city"", ""thesis"", ""urban""]"
"Internet Ventures",Technical,Energetic,Creative,"[""internet"", ""venture"", ""network"", ""explore""]"
"Medical Passage - Maybe manipulated yet nostalgic",Hybrid,Melancholic,Cinematic,"[""medical"", ""nostalgia"", ""passage"", ""memory""]"
"C0d3d M3m0ri3s",Technical,Nostalgic,Glitch,"[""code"", ""memory"", ""leet"", ""retro""]"
"0ptimizing L0st Frequencies",Technical,Melancholic,Glitch,"[""optimize"", ""lost"", ""frequency"", ""signal""]"
"Digital Zeroes & 1s",Technical,Analytical,Formal,"[""binary"", ""digital"", ""data"", ""code""]"
"Lost in 0x Infinity",Technical,Eerie,Glitch,"[""hex"", ""infinity"", ""lost"", ""code""]"
"Zeroes in the Static Void",Atmospheric,Eerie,Glitch,"[""zero"", ""static"", ""void"", ""signal""]"
"Everywhere at the end of time",Atmospheric,Melancholic,Cinematic,"[""time"", ""everywhere"", ""end"", ""haunted""]"
"Interference Patterns",Technical,Analytical,Professional,"[""interference"", ""pattern"", ""signal"", ""wave""]"
"adjoining-wandering-snowdrop",Atmospheric,Dreamy,Minimalist,"[""snowdrop"", ""wander"", ""join"", ""soft""]"
"plucky-wide-begonia",Creative,Energetic,Casual,"[""plucky"", ""begonia"", ""flower"", ""bold""]"
"excellent-watery-neighborhood",Atmospheric,Dreamy,Casual,"[""water"", ""neighborhood"", ""excellent"", ""soft""]"
"starting-craziness",Creative,Energetic,Casual,"[""start"", ""chaos"", ""wild"", ""begin""]"
"evanescent-endurable-fountain",Atmospheric,Dreamy,Minimalist,"[""evanescent"", ""fountain"", ""endure"", ""water""]"
"chief-tricolor-digit",Technical,Analytical,Formal,"[""chief"", ""tricolor"", ""digit"", ""data""]"
"better-marsh-koi",Atmospheric,Dreamy,Casual,"[""marsh"", ""koi"", ""water"", ""better""]"
"repeated-sage-hollyhock",Atmospheric,Nostalgic,Minimalist,"[""sage"", ""hollyhock"", ""repeat"", ""herbal""]"
"acidic-glamorous-phone",Creative,Mysterious,Glitch,"[""acid"", ""glamour"", ""phone"", ""neon""]"
"dashing-horn-seahorse",Creative,Energetic,Casual,"[""seahorse"", ""horn"", ""dash"", ""sea""]"
"volcano-war",Atmospheric,Eerie,Cinematic,"[""volcano"", ""war"", ""eruption"", ""conflict""]"
"materialistic-cuddly-bathroom",Creative,Nostalgic,Casual,"[""material"", ""cuddly"", ""bathroom"", ""irony""]"
"earthy-silent-accelerator",Technical,Analytical,Minimalist,"[""earthy"", ""silent"", ""accelerate"", ""quiet""]"
"cliff-quickest-lightyear",Atmospheric,Dreamy,Creative,"[""cliff"", ""light"", ""speed"", ""vast""]"
"chocolate-easy-color",Creative,Dreamy,Casual,"[""chocolate"", ""color"", ""easy"", ""warm""]"
"respected-curvy-selenium",Technical,Analytical,Formal,"[""selenium"", ""curve"", ""respected"", ""data""]"
"buttoned-vast-walrus",Creative,Nostalgic,Casual,"[""walrus"", ""button"", ""vast"", ""strange""]"
"polite-flax-gooseberry",Atmospheric,Dreamy,Casual,"[""flax"", ""gooseberry"", ""polite"", ""soft""]"
"omniscient-honored-cobra",Creative,Mysterious,Cinematic,"[""omniscient"", ""cobra"", ""honor"", ""power""]"
"cactus-delicious-note",Creative,Nostalgic,Casual,"[""cactus"", ""delicious"", ""note"", ""strange""]"
"super-tested-stetson",Creative,Nostalgic,Casual,"[""stetson"", ""tested"", ""western"", ""super""]"
"zany-marmalade-vinyl",Creative,Nostalgic,Casual,"[""marmalade"", ""vinyl"", ""zany"", ""retro""]"
"actually-vaulted-mascara",Creative,Mysterious,Creative,"[""mascara"", ""vault"", ""actually"", ""glam""]"
"misty-prickly-macadamia",Atmospheric,Dreamy,Casual,"[""misty"", ""prickly"", ""macadamia"", ""texture""]"
"meowing-kind-elderberry",Creative,Nostalgic,Casual,"[""cat"", ""elderberry"", ""kind"", ""soft""]"
"cool-furry-chive",Creative,Dreamy,Casual,"[""chive"", ""furry"", ""cool"", ""herb""]"
"necessary-curly-goldenrod",Atmospheric,Dreamy,Minimalist,"[""goldenrod"", ""curly"", ""necessary"", ""floral""]"
"able-misty-tumble",Atmospheric,Dreamy,Casual,"[""misty"", ""tumble"", ""able"", ""motion""]"
"temporal-bouncy-lunch",Creative,Energetic,Casual,"[""temporal"", ""bouncy"", ""lunch"", ""strange""]"
"paper-literate-outrigger",Technical,Analytical,Casual,"[""paper"", ""literate"", ""outrigger"", ""boat""]"
